Title,"HE qualifications obtained by subject area, sex, level of qualification, mode of study and country of HE provider",,,,,
Total - Science subject areas,All postgraduate,All,Northern Ireland,Male,2016/17,865
Total - Science subject areas,All postgraduate,All,Northern Ireland,Other,2016/17,0
Total - Science subject areas,All postgraduate,All,Northern Ireland,Total,2016/17,2085
Total - Science subject areas,All postgraduate,All,Northern Ireland,Female,2017/18,1280
Total - Science subject areas,All postgraduate,All,Northern Ireland,Male,2017/18,850
Total - Science subject areas,All postgraduate,All,Northern Ireland,Other,2017/18,0
Total - Science subject areas,All postgraduate,All,Northern Ireland,Total,2017/18,2130
Total - Science subject areas,All postgraduate,All,Northern Ireland,Female,2018/19,1645
Total - Science subject areas,All postgraduate,All,Northern Ireland,Male,2018/19,950
Total - Science subject areas,All postgraduate,All,Northern Ireland,Other,2018/19,0
Total - Science subject areas,All postgraduate,All,Northern Ireland,Total,2018/19,2595
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Female,2014/15,485
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Male,2014/15,475
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Other,2014/15,0
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Total,2014/15,960
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Female,2015/16,485
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Male,2015/16,455
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Other,2015/16,0
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Total,2015/16,940
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Female,2016/17,520
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Male,2016/17,475
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Other,2016/17,0
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Total,2016/17,995
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Female,2017/18,565
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Male,2017/18,480
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Other,2017/18,0
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Total,2017/18,1040
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Female,2018/19,695
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Male,2018/19,505
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Other,2018/19,0
Total - Science subject areas,All postgraduate,Full-time,Northern Ireland,Total,2018/19,1200
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Female,2014/15,745
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Male,2014/15,340
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Other,2014/15,0
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Total,2014/15,1085
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Female,2015/16,650
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Male,2015/16,295
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Other,2015/16,0
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Total,2015/16,945
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Female,2016/17,700
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Male,2016/17,385
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Other,2016/17,0
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Total,2016/17,1090
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Female,2017/18,715
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Male,2017/18,370
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Other,2017/18,0
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Total,2017/18,1085
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Female,2018/19,950
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Male,2018/19,445
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Other,2018/19,0
Total - Science subject areas,All postgraduate,Part-time,Northern Ireland,Total,2018/19,1395
Total - Science subject areas,All postgraduate,All,Scotland,Female,2014/15,4560
Total - Science subject areas,All postgraduate,All,Scotland,Male,2014/15,5165
Total - Science subject areas,All postgraduate,All,Scotland,Other,2014/15,5
Total - Science subject areas,All postgraduate,All,Scotland,Total,2014/15,9725
Total - Science subject areas,All postgraduate,All,Scotland,Female,2015/16,5110
Total - Science subject areas,All postgraduate,All,Scotland,Male,2015/16,5360
Total - Science subject areas,All postgraduate,All,Scotland,Other,2015/16,5
Total - Science subject areas,All postgraduate,All,Scotland,Total,2015/16,10475
Total - Science subject areas,All postgraduate,All,Scotland,Female,2016/17,5625
Total - Science subject areas,All postgraduate,All,Scotland,Male,2016/17,5510
Total - Science subject areas,All postgraduate,All,Scotland,Other,2016/17,10
Total - Science subject areas,All postgraduate,All,Scotland,Total,2016/17,11145
Total - Science subject areas,All postgraduate,All,Scotland,Female,2017/18,6410
Total - Science subject areas,All postgraduate,All,Scotland,Male,2017/18,5880
Total - Science subject areas,All postgraduate,All,Scotland,Other,2017/18,10
Total - Science subject areas,All postgraduate,All,Scotland,Total,2017/18,12300
Total - Science subject areas,All postgraduate,All,Scotland,Female,2018/19,6850
Total - Science subject areas,All postgraduate,All,Scotland,Male,2018/19,6050
Total - Science subject areas,All postgraduate,All,Scotland,Other,2018/19,20
Total - Science subject areas,All postgraduate,All,Scotland,Total,2018/19,12920
Total - Science subject areas,All postgraduate,Full-time,Scotland,Female,2014/15,3310
Total - Science subject areas,All postgraduate,Full-time,Scotland,Male,2014/15,4185
Total - Science subject areas,All postgraduate,Full-time,Scotland,Other,2014/15,5
Total - Science subject areas,All postgraduate,Full-time,Scotland,Total,2014/15,7500
Total - Science subject areas,All postgraduate,Full-time,Scotland,Female,2015/16,3700
Total - Science subject areas,All postgraduate,Full-time,Scotland,Male,2015/16,4350
Total - Science subject areas,All postgraduate,Full-time,Scotland,Other,2015/16,5
Total - Science subject areas,All postgraduate,Full-time,Scotland,Total,2015/16,8055
Total - Science subject areas,All postgraduate,Full-time,Scotland,Female,2016/17,4100
Total - Science subject areas,All postgraduate,Full-time,Scotland,Male,2016/17,4415
Total - Science subject areas,All postgraduate,Full-time,Scotland,Other,2016/17,10
Total - Science subject areas,All postgraduate,Full-time,Scotland,Total,2016/17,8520
Total - Science subject areas,All postgraduate,Full-time,Scotland,Female,2017/18,4735
Total - Science subject areas,All postgraduate,Full-time,Scotland,Male,2017/18,4760
Total - Science subject areas,All postgraduate,Full-time,Scotland,Other,2017/18,10
Total - Science subject areas,All postgraduate,Full-time,Scotland,Total,2017/18,9510
Total - Science subject areas,All postgraduate,Full-time,Scotland,Female,2018/19,5235
Total - Science subject areas,All postgraduate,Full-time,Scotland,Male,2018/19,4875
Total - Science subject areas,All postgraduate,Full-time,Scotland,Other,2018/19,15
Total - Science subject areas,All postgraduate,Full-time,Scotland,Total,2018/19,10125
Total - Science subject areas,All postgraduate,Part-time,Scotland,Female,2014/15,1245
Total - Science subject areas,All postgraduate,Part-time,Scotland,Male,2014/15,980
Total - Science subject areas,All postgraduate,Part-time,Scotland,Other,2014/15,0
Total - Science subject areas,All postgraduate,Part-time,Scotland,Total,2014/15,2230
Total - Science subject areas,All postgraduate,Part-time,Scotland,Female,2015/16,1410
Total - Science subject areas,All postgraduate,Part-time,Scotland,Male,2015/16,1010
Total - Science subject areas,All postgraduate,Part-time,Scotland,Other,2015/16,0
Total - Science subject areas,All postgraduate,Part-time,Scotland,Total,2015/16,2420
Total - Science subject areas,All postgraduate,Part-time,Scotland,Female,2016/17,1525
Total - Science subject areas,All postgraduate,Part-time,Scotland,Male,2016/17,1100
Total - Science subject areas,All postgraduate,Part-time,Scotland,Other,2016/17,0
Total - Science subject areas,All postgraduate,Part-time,Scotland,Total,2016/17,2625
Total - Science subject areas,All postgraduate,Part-time,Scotland,Female,2017/18,1675
Total - Science subject areas,All postgraduate,Part-time,Scotland,Male,2017/18,1120
Total - Science subject areas,All postgraduate,Part-time,Scotland,Other,2017/18,0
Total - Science subject areas,All postgraduate,Part-time,Scotland,Total,2017/18,2795
Total - Science subject areas,All postgraduate,Part-time,Scotland,Female,2018/19,1615
Total - Science subject areas,All postgraduate,Part-time,Scotland,Male,2018/19,1175
Total - Science subject areas,All postgraduate,Part-time,Scotland,Other,2018/19,5
Total - Science subject areas,All postgraduate,Part-time,Scotland,Total,2018/19,2795
Total - Science subject areas,All postgraduate,All,Wales,Female,2014/15,2230
Total - Science subject areas,All postgraduate,All,Wales,Male,2014/15,2260
Total - Science subject areas,All postgraduate,All,Wales,Other,2014/15,0
Total - Science subject areas,All postgraduate,All,Wales,Total,2014/15,4490
Total - Science subject areas,All postgraduate,All,Wales,Female,2015/16,2205
Total - Science subject areas,All postgraduate,All,Wales,Male,2015/16,2170
Total - Science subject areas,All postgraduate,All,Wales,Other,2015/16,0
Total - Science subject areas,All postgraduate,All,Wales,Total,2015/16,4375
Total - Science subject areas,All postgraduate,All,Wales,Female,2016/17,2150
Total - Science subject areas,All postgraduate,All,Wales,Male,2016/17,2035
Total - Science subject areas,All postgraduate,All,Wales,Other,2016/17,0
Total - Science subject areas,All postgraduate,All,Wales,Total,2016/17,4185
Total - Science subject areas,All postgraduate,All,Wales,Female,2017/18,2455
Total - Science subject areas,All postgraduate,All,Wales,Male,2017/18,2100
Total - Science subject areas,All postgraduate,All,Wales,Other,2017/18,5
Total - Science subject areas,All postgraduate,All,Wales,Total,2017/18,4565
Total - Science subject areas,All postgraduate,All,Wales,Female,2018/19,2645
Total - Science subject areas,All postgraduate,All,Wales,Male,2018/19,2300
Total - Science subject areas,All postgraduate,All,Wales,Other,2018/19,5
Total - Science subject areas,All postgraduate,All,Wales,Total,2018/19,4950
Total - Science subject areas,All postgraduate,Full-time,Wales,Female,2014/15,1170
Total - Science subject areas,All postgraduate,Full-time,Wales,Male,2014/15,1535
Total - Science subject areas,All postgraduate,Full-time,Wales,Other,2014/15,0
Total - Science subject areas,All postgraduate,Full-time,Wales,Total,2014/15,2700
Total - Science subject areas,All postgraduate,Full-time,Wales,Female,2015/16,1180
Total - Science subject areas,All postgraduate,Full-time,Wales,Male,2015/16,1505
Total - Science subject areas,All postgraduate,Full-time,Wales,Other,2015/16,0
Total - Science subject areas,All postgraduate,Full-time,Wales,Total,2015/16,2685
Total - Science subject areas,All postgraduate,Full-time,Wales,Female,2016/17,1135
Total - Science subject areas,All postgraduate,Full-time,Wales,Male,2016/17,1380
Total - Science subject areas,All postgraduate,Full-time,Wales,Other,2016/17,0
Total - Science subject areas,All postgraduate,Full-time,Wales,Total,2016/17,2515
Total - Science subject areas,All postgraduate,Full-time,Wales,Female,2017/18,1315
Total - Science subject areas,All postgraduate,Full-time,Wales,Male,2017/18,1485
Total - Science subject areas,All postgraduate,Full-time,Wales,Other,2017/18,5
Total - Science subject areas,All postgraduate,Full-time,Wales,Total,2017/18,2805
Total - Science subject areas,All postgraduate,Full-time,Wales,Female,2018/19,1510
Total - Science subject areas,All postgraduate,Full-time,Wales,Male,2018/19,1625
Total - Science subject areas,All postgraduate,Full-time,Wales,Other,2018/19,5
Total - Science subject areas,All postgraduate,Full-time,Wales,Total,2018/19,3135
Total - Science subject areas,All postgraduate,Part-time,Wales,Female,2014/15,1065
Total - Science subject areas,All postgraduate,Part-time,Wales,Male,2014/15,725
Total - Science subject areas,All postgraduate,Part-time,Wales,Other,2014/15,0
Total - Science subject areas,All postgraduate,Part-time,Wales,Total,2014/15,1790
Total - Science subject areas,All postgraduate,Part-time,Wales,Female,2015/16,1025
Total - Science subject areas,All postgraduate,Part-time,Wales,Male,2015/16,665
Total - Science subject areas,All postgraduate,Part-time,Wales,Other,2015/16,0
Total - Science subject areas,All postgraduate,Part-time,Wales,Total,2015/16,1695
Total - Science subject areas,All postgraduate,Part-time,Wales,Female,2016/17,1015
Total - Science subject areas,All postgraduate,Part-time,Wales,Male,2016/17,655
Total - Science subject areas,All postgraduate,Part-time,Wales,Other,2016/17,0
Total - Science subject areas,All postgraduate,Part-time,Wales,Total,2016/17,1670
Total - Science subject areas,All postgraduate,Part-time,Wales,Female,2017/18,1140
Total - Science subject areas,All postgraduate,Part-time,Wales,Male,2017/18,620
Total - Science subject areas,All postgraduate,Part-time,Wales,Other,2017/18,0
Total - Science subject areas,All postgraduate,Part-time,Wales,Total,2017/18,1760
Total - Science subject areas,All postgraduate,Part-time,Wales,Female,2018/19,1135
Total - Science subject areas,All postgraduate,Part-time,Wales,Male,2018/19,675
Total - Science subject areas,All postgraduate,Part-time,Wales,Other,2018/19,0
Total - Science subject areas,All postgraduate,Part-time,Wales,Total,2018/19,1815
Total - Science subject areas,First degree,All,All,Female,2014/15,86810
Total - Science subject areas,First degree,All,All,Male,2014/15,83655
Total - Science subject areas,First degree,All,All,Other,2014/15,15
Total - Science subject areas,First degree,All,All,Total,2014/15,170480
Total - Science subject areas,First degree,All,All,Female,2015/16,88520
Total - Science subject areas,First degree,All,All,Male,2015/16,83900
Total - Science subject areas,First degree,All,All,Other,2015/16,30
Total - Science subject areas,First degree,All,All,Total,2015/16,172445
Total - Science subject areas,First degree,All,All,Female,2016/17,93065
Total - Science subject areas,First degree,All,All,Male,2016/17,88115
Total - Science subject areas,First degree,All,All,Other,2016/17,35
Total - Science subject areas,First degree,All,All,Total,2016/17,181215
Total - Science subject areas,First degree,All,All,Female,2017/18,95985
Total - Science subject areas,First degree,All,All,Male,2017/18,89070
Total - Science subject areas,First degree,All,All,Other,2017/18,60
Total - Science subject areas,First degree,All,All,Total,2017/18,185115
Total - Science subject areas,First degree,All,All,Female,2018/19,97760
Total - Science subject areas,First degree,All,All,Male,2018/19,89060
Total - Science subject areas,First degree,All,All,Other,2018/19,105
Total - Science subject areas,First degree,All,All,Total,2018/19,186925
Total - Science subject areas,First degree,Full-time,All,Female,2014/15,78035
Total - Science subject areas,First degree,Full-time,All,Male,2014/15,76065
Total - Science subject areas,First degree,Full-time,All,Other,2014/15,10
Total - Science subject areas,First degree,Full-time,All,Total,2014/15,154115
Total - Science subject areas,First degree,Full-time,All,Female,2015/16,81070
Total - Science subject areas,First degree,Full-time,All,Male,2015/16,77170
Total - Science subject areas,First degree,Full-time,All,Other,2015/16,30
Total - Science subject areas,First degree,Full-time,All,Total,2015/16,158265
Total - Science subject areas,First degree,Full-time,All,Female,2016/17,85550
Total - Science subject areas,First degree,Full-time,All,Male,2016/17,81285
Total - Science subject areas,First degree,Full-time,All,Other,2016/17,35
Total - Science subject areas,First degree,Full-time,All,Total,2016/17,166865
Total - Science subject areas,First degree,Full-time,All,Female,2017/18,89445
Total - Science subject areas,First degree,Full-time,All,Male,2017/18,82530
Total - Science subject areas,First degree,Full-time,All,Other,2017/18,60
Total - Science subject areas,First degree,Full-time,All,Total,2017/18,172030
Total - Science subject areas,First degree,Full-time,All,Female,2018/19,91235
Total - Science subject areas,First degree,Full-time,All,Male,2018/19,82610
Total - Science subject areas,First degree,Full-time,All,Other,2018/19,95
Total - Science subject areas,First degree,Full-time,All,Total,2018/19,173945
Total - Science subject areas,First degree,Part-time,All,Female,2014/15,8770
Total - Science subject areas,First degree,Part-time,All,Male,2014/15,7590
Total - Science subject areas,First degree,Part-time,All,Other,2014/15,0
Total - Science subject areas,First degree,Part-time,All,Total,2014/15,16365
Total - Science subject areas,First degree,Part-time,All,Female,2015/16,7450
Total - Science subject areas,First degree,Part-time,All,Male,2015/16,6730
Total - Science subject areas,First degree,Part-time,All,Other,2015/16,0
Total - Science subject areas,First degree,Part-time,All,Total,2015/16,14180
Total - Science subject areas,First degree,Part-time,All,Female,2016/17,7520
Total - Science subject areas,First degree,Part-time,All,Male,2016/17,6830
Total - Science subject areas,First degree,Part-time,All,Other,2016/17,0
Total - Science subject areas,First degree,Part-time,All,Total,2016/17,14350
Total - Science subject areas,First degree,Part-time,All,Female,2017/18,6540
Total - Science subject areas,First degree,Part-time,All,Male,2017/18,6540
Total - Science subject areas,First degree,Part-time,All,Other,2017/18,0
Total - Science subject areas,First degree,Part-time,All,Total,2017/18,13080
Total - Science subject areas,First degree,Part-time,All,Female,2018/19,6525
Total - Science subject areas,First degree,Part-time,All,Male,2018/19,6450
Total - Science subject areas,First degree,Part-time,All,Other,2018/19,5
Total - Science subject areas,First degree,Part-time,All,Total,2018/19,12980
Total - Science subject areas,First degree,All,England,Female,2014/15,69985
Total - Science subject areas,First degree,All,England,Male,2014/15,68100
Total - Science subject areas,First degree,All,England,Other,2014/15,10
Total - Science subject areas,First degree,All,England,Total,2014/15,138095
Total - Science subject areas,First degree,All,England,Female,2015/16,71785
Total - Science subject areas,First degree,All,England,Male,2015/16,67735
Total - Science subject areas,First degree,All,England,Other,2015/16,20
Total - Science subject areas,First degree,All,England,Total,2015/16,139535
Total - Science subject areas,First degree,All,England,Female,2016/17,75435
Total - Science subject areas,First degree,All,England,Male,2016/17,71090
Total - Science subject areas,First degree,All,England,Other,2016/17,25
Total - Science subject areas,First degree,All,England,Total,2016/17,146550
Total - Science subject areas,First degree,All,England,Female,2017/18,78005
Total - Science subject areas,First degree,All,England,Male,2017/18,72230
Total - Science subject areas,First degree,All,England,Other,2017/18,40
Total - Science subject areas,First degree,All,England,Total,2017/18,150275
Total - Science subject areas,First degree,All,England,Female,2018/19,79690
Total - Science subject areas,First degree,All,England,Male,2018/19,72070
Total - Science subject areas,First degree,All,England,Other,2018/19,55
Total - Science subject areas,First degree,All,England,Total,2018/19,151820
Total - Science subject areas,First degree,Full-time,England,Female,2014/15,62485
Total - Science subject areas,First degree,Full-time,England,Male,2014/15,61655
Total - Science subject areas,First degree,Full-time,England,Other,2014/15,10
Total - Science subject areas,First degree,Full-time,England,Total,2014/15,124150
Total - Science subject areas,First degree,Full-time,England,Female,2015/16,65270
Total - Science subject areas,First degree,Full-time,England,Male,2015/16,62045
Total - Science subject areas,First degree,Full-time,England,Other,2015/16,20
Total - Science subject areas,First degree,Full-time,England,Total,2015/16,127335
Total - Science subject areas,First degree,Full-time,England,Female,2016/17,68840
Total - Science subject areas,First degree,Full-time,England,Male,2016/17,65345
Total - Science subject areas,First degree,Full-time,England,Other,2016/17,25
Total - Science subject areas,First degree,Full-time,England,Total,2016/17,134210
Total - Science subject areas,First degree,Full-time,England,Female,2017/18,72290
Total - Science subject areas,First degree,Full-time,England,Male,2017/18,66785
Total - Science subject areas,First degree,Full-time,England,Other,2017/18,40
Total - Science subject areas,First degree,Full-time,England,Total,2017/18,139115
Total - Science subject areas,First degree,Full-time,England,Female,2018/19,74060
Total - Science subject areas,First degree,Full-time,England,Male,2018/19,66770
Total - Science subject areas,First degree,Full-time,England,Other,2018/19,50
Total - Science subject areas,First degree,Full-time,England,Total,2018/19,140880
Total - Science subject areas,First degree,Part-time,England,Female,2014/15,7500
Total - Science subject areas,First degree,Part-time,England,Male,2014/15,6445
Total - Science subject areas,First degree,Part-time,England,Other,2014/15,0
Total - Science subject areas,First degree,Part-time,England,Total,2014/15,13945
Total - Science subject areas,First degree,Part-time,England,Female,2015/16,6510
Total - Science subject areas,First degree,Part-time,England,Male,2015/16,5685
Total - Science subject areas,First degree,Part-time,England,Other,2015/16,0
Total - Science subject areas,First degree,Part-time,England,Total,2015/16,12200
Total - Science subject areas,First degree,Part-time,England,Female,2016/17,6595
Total - Science subject areas,First degree,Part-time,England,Male,2016/17,5745
Total - Science subject areas,First degree,Part-time,England,Other,2016/17,0
Total - Science subject areas,First degree,Part-time,England,Total,2016/17,12340
Total - Science subject areas,First degree,Part-time,England,Female,2017/18,5710
Total - Science subject areas,First degree,Part-time,England,Male,2017/18,5445
Total - Science subject areas,First degree,Part-time,England,Other,2017/18,0
Total - Science subject areas,First degree,Part-time,England,Total,2017/18,11160
Total - Science subject areas,First degree,Part-time,England,Female,2018/19,5630
Total - Science subject areas,First degree,Part-time,England,Male,2018/19,5300
Total - Science subject areas,First degree,Part-time,England,Other,2018/19,5
Total - Science subject areas,First degree,Part-time,England,Total,2018/19,10940
Total - Science subject areas,First degree,All,Northern Ireland,Female,2014/15,2415
Total - Science subject areas,First degree,All,Northern Ireland,Male,2014/15,2120
Total - Science subject areas,First degree,All,Northern Ireland,Other,2014/15,0
Total - Science subject areas,First degree,All,Northern Ireland,Total,2014/15,4535
Total - Science subject areas,First degree,All,Northern Ireland,Female,2015/16,2460
Total - Science subject areas,First degree,All,Northern Ireland,Male,2015/16,2195
Total - Science subject areas,First degree,All,Northern Ireland,Other,2015/16,0
Total - Science subject areas,First degree,All,Northern Ireland,Total,2015/16,4655
Total - Science subject areas,First degree,All,Northern Ireland,Female,2016/17,2530
Total - Science subject areas,First degree,All,Northern Ireland,Male,2016/17,2370
Total - Science subject areas,First degree,All,Northern Ireland,Other,2016/17,0
Total - Science subject areas,First degree,All,Northern Ireland,Total,2016/17,4900
Total - Science subject areas,First degree,All,Northern Ireland,Female,2017/18,2420
Total - Science subject areas,First degree,All,Northern Ireland,Male,2017/18,2240
Total - Science subject areas,First degree,All,Northern Ireland,Other,2017/18,0
Total - Science subject areas,First degree,All,Northern Ireland,Total,2017/18,4660
Total - Science subject areas,First degree,All,Northern Ireland,Female,2018/19,2430
Total - Science subject areas,First degree,All,Northern Ireland,Male,2018/19,2255
Total - Science subject areas,First degree,All,Northern Ireland,Other,2018/19,0
Total - Science subject areas,First degree,All,Northern Ireland,Total,2018/19,4685
Total - Science subject areas,First degree,Full-time,Northern Ireland,Female,2014/15,2285
Total - Science subject areas,First degree,Full-time,Northern Ireland,Male,2014/15,1975
Total - Science subject areas,First degree,Full-time,Northern Ireland,Other,2014/15,0
Total - Science subject areas,First degree,Full-time,Northern Ireland,Total,2014/15,4255
Total - Science subject areas,First degree,Full-time,Northern Ireland,Female,2015/16,2335
Total - Science subject areas,First degree,Full-time,Northern Ireland,Male,2015/16,2060
Total - Science subject areas,First degree,Full-time,Northern Ireland,Other,2015/16,0
Total - Science subject areas,First degree,Full-time,Northern Ireland,Total,2015/16,4395
Total - Science subject areas,First degree,Full-time,Northern Ireland,Female,2016/17,2400
Total - Science subject areas,First degree,Full-time,Northern Ireland,Male,2016/17,2210
Total - Science subject areas,First degree,Full-time,Northern Ireland,Other,2016/17,0
Total - Science subject areas,First degree,Full-time,Northern Ireland,Total,2016/17,4610
Total - Science subject areas,First degree,Full-time,Northern Ireland,Female,2017/18,2275
Total - Science subject areas,First degree,Full-time,Northern Ireland,Male,2017/18,2085
Total - Science subject areas,First degree,Full-time,Northern Ireland,Other,2017/18,0
Total - Science subject areas,First degree,Full-time,Northern Ireland,Total,2017/18,4360
Total - Science subject areas,First degree,Full-time,Northern Ireland,Female,2018/19,2275
Total - Science subject areas,First degree,Full-time,Northern Ireland,Male,2018/19,2075
Total - Science subject areas,First degree,Full-time,Northern Ireland,Other,2018/19,0
Total - Science subject areas,First degree,Full-time,Northern Ireland,Total,2018/19,4350
Total - Science subject areas,First degree,Part-time,Northern Ireland,Female,2014/15,135
Total - Science subject areas,First degree,Part-time,Northern Ireland,Male,2014/15,145
Total - Science subject areas,First degree,Part-time,Northern Ireland,Other,2014/15,0
Total - Science subject areas,First degree,Part-time,Northern Ireland,Total,2014/15,280
Total - Science subject areas,First degree,Part-time,Northern Ireland,Female,2015/16,125
Total - Science subject areas,First degree,Part-time,Northern Ireland,Male,2015/16,135
Total - Science subject areas,First degree,Part-time,Northern Ireland,Other,2015/16,0
Total - Science subject areas,First degree,Part-time,Northern Ireland,Total,2015/16,260
Total - Science subject areas,First degree,Part-time,Northern Ireland,Female,2016/17,130
Total - Science subject areas,First degree,Part-time,Northern Ireland,Male,2016/17,155
Total - Science subject areas,First degree,Part-time,Northern Ireland,Other,2016/17,0
Total - Science subject areas,First degree,Part-time,Northern Ireland,Total,2016/17,285
Total - Science subject areas,First degree,Part-time,Northern Ireland,Female,2017/18,145
Total - Science subject areas,First degree,Part-time,Northern Ireland,Male,2017/18,155
Total - Science subject areas,First degree,Part-time,Northern Ireland,Other,2017/18,0
Total - Science subject areas,First degree,Part-time,Northern Ireland,Total,2017/18,300
Total - Science subject areas,First degree,Part-time,Northern Ireland,Female,2018/19,155
Total - Science subject areas,First degree,Part-time,Northern Ireland,Male,2018/19,180
Total - Science subject areas,First degree,Part-time,Northern Ireland,Other,2018/19,0
Total - Science subject areas,First degree,Part-time,Northern Ireland,Total,2018/19,335
Total - Science subject areas,First degree,All,Scotland,Female,2014/15,9495
Total - Science subject areas,First degree,All,Scotland,Male,2014/15,8470
Total - Science subject areas,First degree,All,Scotland,Other,2014/15,5
Total - Science subject areas,First degree,All,Scotland,Total,2014/15,17970
Total - Science subject areas,First degree,All,Scotland,Female,2015/16,9645
Total - Science subject areas,First degree,All,Scotland,Male,2015/16,8800
Total - Science subject areas,First degree,All,Scotland,Other,2015/16,5
Total - Science subject areas,First degree,All,Scotland,Total,2015/16,18450
Total - Science subject areas,First degree,All,Scotland,Female,2016/17,10025
Total - Science subject areas,First degree,All,Scotland,Male,2016/17,9070
Total - Science subject areas,First degree,All,Scotland,Other,2016/17,5
Total - Science subject areas,First degree,All,Scotland,Total,2016/17,19105
Total - Science subject areas,First degree,All,Scotland,Female,2017/18,10345
Total - Science subject areas,First degree,All,Scotland,Male,2017/18,9130
Total - Science subject areas,First degree,All,Scotland,Other,2017/18,10
Total - Science subject areas,First degree,All,Scotland,Total,2017/18,19490
Total - Science subject areas,First degree,All,Scotland,Female,2018/19,10280
Total - Science subject areas,First degree,All,Scotland,Male,2018/19,9390
Total - Science subject areas,First degree,All,Scotland,Other,2018/19,35
Total - Science subject areas,First degree,All,Scotland,Total,2018/19,19705
Total - Science subject areas,First degree,Full-time,Scotland,Female,2014/15,8675
Total - Science subject areas,First degree,Full-time,Scotland,Male,2014/15,7845
Total - Science subject areas,First degree,Full-time,Scotland,Other,2014/15,5
Total - Science subject areas,First degree,Full-time,Scotland,Total,2014/15,16520
Total - Science subject areas,First degree,Full-time,Scotland,Female,2015/16,9050
Total - Science subject areas,First degree,Full-time,Scotland,Male,2015/16,8220
Total - Science subject areas,First degree,Full-time,Scotland,Other,2015/16,5
Total - Science subject areas,First degree,Full-time,Scotland,Total,2015/16,17275
Total - Science subject areas,First degree,Full-time,Scotland,Female,2016/17,9475
Total - Science subject areas,First degree,Full-time,Scotland,Male,2016/17,8510
Total - Science subject areas,First degree,Full-time,Scotland,Other,2016/17,5
Total - Science subject areas,First degree,Full-time,Scotland,Total,2016/17,17990
Total - Science subject areas,First degree,Full-time,Scotland,Female,2017/18,9865
Total - Science subject areas,First degree,Full-time,Scotland,Male,2017/18,8530
Total - Science subject areas,First degree,Full-time,Scotland,Other,2017/18,10
Total - Science subject areas,First degree,Full-time,Scotland,Total,2017/18,18410
Total - Science subject areas,First degree,Full-time,Scotland,Female,2018/19,9750
Total - Science subject areas,First degree,Full-time,Scotland,Male,2018/19,8750
Total - Science subject areas,First degree,Full-time,Scotland,Other,2018/19,35
Total - Science subject areas,First degree,Full-time,Scotland,Total,2018/19,18530
Total - Science subject areas,First degree,Part-time,Scotland,Female,2014/15,820
Total - Science subject areas,First degree,Part-time,Scotland,Male,2014/15,625
Total - Science subject areas,First degree,Part-time,Scotland,Other,2014/15,0
Total - Science subject areas,First degree,Part-time,Scotland,Total,2014/15,1445
Total - Science subject areas,First degree,Part-time,Scotland,Female,2015/16,595
Total - Science subject areas,First degree,Part-time,Scotland,Male,2015/16,580
Total - Science subject areas,First degree,Part-time,Scotland,Other,2015/16,0
Total - Science subject areas,First degree,Part-time,Scotland,Total,2015/16,1175
Total - Science subject areas,First degree,Part-time,Scotland,Female,2016/17,550
Total - Science subject areas,First degree,Part-time,Scotland,Male,2016/17,560
Total - Science subject areas,First degree,Part-time,Scotland,Other,2016/17,0
